<< ITALIA-RS >> |DUPLICATAS POR OP.FINAN./HIST.|17/07/14|14:34
Estab:|         1|a|         5|Período:|06/06/14|a|10/07/14|Op. Financ:|002|a|004
Hist:|    |a|zzzz|Moeda:|          |Pagador:|         0|a|       999
Ativ:|                              
Fornecedor|Pag|Depto|Est.|Fatura/DP|Data Mov.|Port:|Valor
Op. Financeira:|002|Liquidacao Titulos  | - |0002|Liquidacao de Titulo
88302419000149  Mecanica Parana Lt|  0|55110   |  1|      350/01|27/06/14|   1|            467,00
88302419000149  Mecanica Parana Lt|  0|55110   |  1|      351/01|30/06/14| 341|            567,50
 2955062000182  Frigeri Contabilid|  0|54202   |  1|      953/01|11/06/14| 341|           3670,00
94007002000156  Laudino Orso - Me |  0|55110   |  1|     1163/01|18/06/14| 237|            133,10
94007002000156  Laudino Orso - Me |  0|55110   |  1|     1164/01|20/06/14| 237|            115,00
94007002000156  Laudino Orso - Me |  0|55110   |  1|     1171/01|26/06/14|   1|            235,00
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1253/01|20/06/14| 237|            700,00
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1253/02|08/07/14|   1|            700,00
72383524000110  Molas Pernambuco L|  0|55110   |  1|     1264/01|02/07/14| 237|            519,00
86953932000174  R P M Conserto de |  0|55110   |  1|     1311/02|25/06/14| 237|            721,00
77969251000103  Auto Posto Pelanda|  0|55109   |  1|     1956/01|10/06/14| 237|          38297,76
 3380389000136  Kiwa Empreendiment|  0|54201   |  2|     2014/03|26/06/14| 341|          26811,04
 3380389000136  Kiwa Empreendiment|  0|54201   |  2|     2014/04|26/06/14| 341|          26811,04
 3380389000136  Kiwa Empreendiment|  0|54201   |  2|     2014/05|26/06/14| 341|          26811,03
11743590000169  Carlos Eduardo M C|  0|55110   |  2|     2028/01|24/06/14| 341|            445,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2536/05|09/06/14| 341|            897,40
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2538/06|03/07/14| 237|           2341,99
 5152630000103  Cardan Guarus Come|  0|55151   |  4|     2659/01|11/06/14| 341|            248,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2812/02|01/07/14| 237|            442,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2816/02|09/06/14| 341|            364,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2850/02|08/07/14|   1|            421,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2852/02|01/07/14| 237|            541,00
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2891/01|18/06/14| 237|            480,50
92641653000178  Mecanica Dallacua |  0|55110   |  1|     2950/01|13/06/14|   1|            182,00
