DE	PARA					
1.2.1.3.1.9.1.0.0.1.3190.	3836					
4.5.8.4.1.9.2.0.0.0.31471	3836					
1.2.2.2.1.9.1.3.0.0.30028	3837					
1.2.2.2.1.9.1.3.0.0.30029	3838					
1.2.3.1.2.1.1.0.0.0.3198.	4850					
1.2.3.1.2.1.1.0.0.0.3201.	4851					
1.2.3.1.2.1.1.0.0.0.3207.	4852					
1.2.3.1.2.1.1.0.0.0.3208.	4853					
1.2.3.1.2.1.1.0.0.0.3209.	4854					
1.2.3.1.2.1.1.0.0.0.3216.	4855					
1.2.3.1.2.1.1.0.0.0.3217.	4856					
1.2.3.1.2.1.1.0.0.0.3218.	4857					
1.2.3.1.2.1.1.0.0.0.3222.	4858					
1.2.3.1.2.1.1.0.0.0.3225.	4859					
1.2.3.1.2.1.1.0.0.0.3228.	4860					
1.2.3.1.2.1.1.0.0.0.3229.	4861					
1.2.3.1.2.1.1.0.0.0.3230.	4862					
1.2.3.1.2.1.1.0.0.0.3236.	4863					
1.2.3.1.2.1.1.0.0.0.3241.	4864					
1.2.3.1.2.1.1.0.0.0.3289.	4865					
1.2.3.1.2.1.1.0.0.0.3242.	4866					
1.2.3.1.2.1.1.0.0.0.3244.	4867					
1.2.3.1.2.1.1.0.0.0.3257.	4868					
1.2.3.1.2.1.1.0.0.0.3259.	4869					
1.2.3.1.2.1.1.0.0.0.3260.	4870					
1.2.3.1.2.1.1.0.0.0.3275.	4871					
1.2.3.1.2.1.1.0.0.0.3276.	4872					
1.2.3.1.2.1.1.0.0.0.4378.	4874					
1.2.3.1.2.1.1.0.0.0.4412.	4875					
1.2.3.1.2.1.1.0.0.0.4478.	4876					
1.2.3.1.2.1.1.0.0.0.4482.	4877					
1.2.3.1.2.1.1.0.0.0.4535.	4878					
1.2.3.1.2.1.1.0.0.0.4536.	4879					
1.2.3.1.2.1.1.0.0.0.5015.	4880					
1.2.3.1.2.1.1.0.0.0.3283.	4881					
1.2.3.1.2.1.1.0.0.0.3286.	4882					
1.2.3.1.2.1.1.0.0.0.3287.	4883					
1.2.3.1.2.1.1.0.0.0.3291.	4884					
1.2.3.1.2.1.1.0.0.0.3292.	4885					
1.2.3.1.2.1.1.0.0.0.3293.	4886					
1.2.3.1.2.1.1.0.0.0.3294.	4887					
1.2.3.1.2.1.1.0.0.0.3295.	4888					
1.2.3.1.2.1.1.0.0.0.3296.	4889					
1.2.3.1.2.1.1.0.0.0.3298.	4891					
1.2.3.1.2.1.1.0.0.0.3299.	4892					
1.2.3.1.2.1.1.0.0.0.3300.	4893					
1.2.3.1.2.1.1.0.0.0.3302.	4894					
1.2.3.1.2.1.1.0.0.0.4209.	4896					
1.2.3.1.2.1.1.0.0.0.4210.	4897					
1.2.3.1.2.1.1.0.0.0.4211.	4898					
1.2.3.1.2.1.1.0.0.0.4400.	4899					
1.2.3.1.2.1.1.0.0.0.5064.	4900					
1.2.3.1.2.1.1.0.0.0.5147.	4901					
